topicName,id,topicType,introduct
雷军回应给武大捐款13亿,M_10204,"社会新闻,互联网",“我上学的时候，有很长一段时间是靠奖学金生活的。当时我就发誓，将来要一万倍地还回来。”
宋轶甜妹,M_10206,综艺,本期浙江卫视《幸运旅行家》宋轶造型好甜妹，双丸子头气质和大美瓷都特别配！
眼泪女王大结局,M_10217,剧集,金秀贤、金智媛《眼泪女王》迎来大结局，是HE还是BE呢？
林俊杰官方APP公司被告,M_10219,艺人,近日，上海欧露塔科技有限公司新增开庭公告，案由涉及侵害作品信息网络传播权纠纷，原告为北京艺品春秋文化传播有限公司。
贾乃亮谎报年龄被黄景瑜踹,M_10220,综艺,贾乃亮在《极限挑战》第十季向扑火大队队员自我介绍时，谎报自己1994年出生，被黄景瑜果断踹了一脚哈哈哈哈！
九尾好C,M_10222,电竞,九尾包c的啦，下次命运要掌握在自己手里，夏季赛见
叶祖新晒步步惊心十阿哥旧照,M_10225,剧集,叶祖新晒步步惊心十阿哥旧照，时间好快都是十几年了
9.9的风终于还是卷到了星巴克,M_10226,美食,越来越多的打工人发现，曾经让他们付款时感到囊中羞涩的星巴克，正在悄悄降价。
张艺凡提前五小时到剧组化妆,M_10228,剧集,新生导演说张艺凡为角色提前五小时到剧组化妆
雷军拿奖学金时发誓要1万倍奉还,M_10229,"互联网,社会新闻",“我上学的时候，有很长一段时间是靠奖学金生活的。当时我就发誓，将来要一万倍地还回来。”
蛋仔花式钓鱼,M_10230,游戏,4月26日起，《蛋仔派对》庄园钓鱼玩法全面大升级，快来上岛一起钓出新花样～
韩国朋友招待的六菜一汤,M_10232,幽默,韩国朋友招待的六菜一汤…
AG逆风翻盘,M_10234,电竞,成都AG超玩会成功翻盘拿下一局
华为小米手机大部分由比亚迪生产,M_10235,数码,比亚迪储能及新型电池事业部副总经理王皓宇27日在2024中关村论坛年会上说，很多人认为比亚迪是个车企，其实不仅仅是这样。
热刺vs阿森纳,M_10236,体育,北京时间1月16日，英超联赛第20轮，北伦敦德比再度开战！
欢迎光临霍格沃茨请随意挑选,M_10238,"时尚,旅游",魔法世界迎来新伙伴，诚邀诸位魔法师一起来探索魔法与时尚的奇妙世界！
32岁男子酒后泡澡脑血管破裂进了ICU,M_10242,社会新闻,4月27日，安徽一位医生凌晨发视频。
Yaoyao发文道歉,M_10231,电竞,TT选手Yaoyao曾发博控诉遭到不公平待遇，在经过俱乐部的调查后公开发表声明致歉，俱乐部同时也进行了声明
黄晓明默默撤回了一口饭,M_10252,综艺,《极限挑战》第二期中的黄晓明招呼消防员们吃饭作势吃了一口饭，结果没人响应，黄晓明只能默默撤回一口饭
专家谈问界M7碰撞后疑车门无法打开,M_10257,社会新闻,4月26日，山西运城一问界M7在高速公路上追尾前车起火的交通事故在网上引起广泛关注。就网友“发生碰撞后为何车门无法打开？”的质疑，4月28日，红星新闻邀请相关专家和业内人士就各种可能性进行了解读。
RIIZE疑似剧透洪承汉复出,M_10258,艺人,洪承汉回归剧透？？
雷军称小米造车投入了半个家底,M_10262,汽车,4月28日，雷军在接受央视新闻采访时表示，小米汽车的目标是全球前五，在这个赢家通吃的行业里面，只有前五能够生存，能够赚到钱。雷军表示，投入的625亿元是小米的半个家底，真的没有想到开局成功的程度，比想象的要成功的多。 ​
官方通报广州一女子商场跳楼砸中人,M_10266,社会新闻,4月28日晚，广州市南沙街道办事处通报：4月27日下午，南沙街道辖内一商场发生一起高坠事件。经公安机关调查，当天16时许，李某（女，52岁）从该商场5楼自行跳下，刮碰到商场内一名途经路人，李某当场死亡。途经路人伤势轻微，经医院检查后已离院。经调查，李某因感情问题近期情绪波动较大。
张颂文回应砍价被吐槽穷酸,M_10268,综艺,近日，张颂文在真人秀《灿烂的花园》中熟练砍价，遭网友吐槽“别再立穷酸样人设了，大方点，砍价的样子好丑”。
海仁墓碑,M_10274,剧集,眼泪女王大结局结尾出现了海仁墓碑呜呜呜
从胃病到胃癌的报警症状,M_10284,健康医疗,现在不少人的胃，或多或少有些毛病，虽然大部分无伤大雅，但浙江省肿瘤医院提醒，当出现这4种胃病时，需要提高警惕，可能发展成癌。
五一1500元机票跳水至400,M_10287,"社会新闻,旅游",五一假期将至，机票价格却临时跳水，不少提前购票者大呼吃亏。对于机票价格“跳水”，有网友表示自己一个星期前1000多元买的票现在降为600，即使退票重买扣手续费也是划算的，还有网友自述自己半个月前花1500元订的一张机票现在降为400元，但也有网友称刚好捡到了便宜。
粉圈乱象影响观剧体验,M_10289,剧集,口碑效应越发突出的当下，一些热播影视作品被恶意评分的现象层出不穷
柯南剧场版主题曲排名,M_10290,动漫,日本粉丝票选【剧场版最喜爱主题曲】排名TOP10
海仁活到了84岁,M_10291,剧集,海仁活到了84岁！
民宿涨价1500后被退单平台只赔230,M_10293,社会新闻,tousu.sina.cn 投诉上黑猫，消费没烦恼！
周雨彤皮衣造型,M_10297,作品衍生,周雨彤皮衣造型
TT公布调查结果,M_10308,电竞,针对Yaoyao爆料遭遇不公正待遇，TT俱乐部公布调查结果：部分情况不属实，二队经理已离职，保留追究法律责任的权利。
新郎一家开荒给新娘办向日葵婚礼,M_10316,"社会新闻,情感",近日，河南，为了给新娘办一个特别的婚礼，新郎和爸妈提前半年平地种草坪，为新娘办了一场期待已久的向日葵草坪婚礼。
买家称周鸿祎的车不卖,M_10324,"互联网,汽车",4月28日，周鸿祎在360大厦直播拍卖自己开了6年的迈巴赫，起拍价600元，最终这辆车以990万拍出。随后买家称，自己这次就是要蹭周鸿祎的流量，这辆车不买。
韩雪练舞前后对比,M_10325,综艺,韩雪练舞前后对比
蔡磊妻子说天天愁有什么用,M_10326,社会新闻,段睿说：“蔡磊确诊渐冻症之后，有人觉得我不哭，好像很怪。但愁有什么用，我在努力，每往前一步都会开心。”加油！
快船2比2独行侠,M_10328,体育,快船扳平独行侠
30人获五四奖章,M_10332,社会新闻,29日，第28届中国青年五四奖章评选结果揭晓。祝贺他们！
新款iPadPro或搭载M4芯片,M_10334,数码,4 月 28 日，彭博社的马克古尔曼发布最新一期 Power On 时事通讯，其中提到苹果将在 5 月 7 日推出的 OLED iPad Pro 有较大概率首发搭载 M4 芯片。
女子在丈夫按摩后长巨大肿块,M_10337,社会新闻,近日，上海。文女士觉得脖子不适，就让丈夫帮忙按摩颈部，可第二天发现左侧的颈部鼓了一个包。
眼泪女王女主死了,M_10340,剧集,《眼泪女王》女主洪海仁死了
这2天班非上不可吗,M_10342,幽默,距离五一假期还剩最后两天！
警方通报女孩凌晨被拽进卫生间殴打,M_10349,社会新闻,4月28日，长垣市公安局发布案情通报：4月24日凌晨1时许，违法行为人石某某和夏某某在长垣市蒲西街道某商业街偶遇董某某，后将其拖拽至女公共卫生间内，交于违法行为人崔某某。崔某某为追求精神刺激，无事生非，随意殴打、撕扯董某某，并逼迫董某某吸香烟。
微博影像年,M_10351,"互联网,数码",2024微博影像年全新启程，来#微博影像年#，记录和分享你的生活。让触动你的瞬间，打动更多人！
一图看懂5月出入境新政,M_10355,国内时政,2024年5月6日起，我国将实施出入境管理的新政策措施。
童瑶露腰扯面,M_10356,剧集,童瑶火锅店整活宣传《微暗之火》。
客户买房后无法上学中介称我口误,M_10357,社会新闻,范女士签订合同后查询发现，房子和育英学校根本不对口。
林允的老公姐选择了张雨绮,M_10359,综艺,《手艺人大会》林允的老公姐选择了张雨绮，林允小女孩心碎了
谁家he男主给女主扫墓啊,M_10363,剧集,谁家he男主给女主扫墓啊，呜呜真的不想看到啊
乐乐茶联名鲁迅引争议,M_10364,社会新闻,4月23日世界读书日，乐乐茶联合译林出版社，推出了“烟腔乌龙”联名奶茶，致敬文学家鲁迅。除了杯身印有鲁迅手捧奶茶的肖像外，“烟腔乌龙”还配套推出印有鲁迅肖像的小册子、亚克力立牌、纸袋等，产品的宣传标语是“老烟腔，新青年”。不过，烟腔乌龙上线后却引起一些争议。
彭昱畅叮嘱胡先煦好好照顾张子枫,M_10366,电影,彭昱畅胡先煦现场认亲大舅哥和妹夫
00后男友为女友定制赶海计划,M_10367,社会新闻,近日，00后情侣小王和小张本想趁着假期来山东威海打卡拍照，却不想偶遇堵车浪费了大量时间，随后小王替女友定制了赶海计划。
河北下雪,M_10368,社会新闻,2015年1月24日，河北石家庄、邯郸、邢台等地下雪......
睡眠不足的9大表现,M_10369,健康医疗,睡眠不足的9大表现
问界M7追尾的养护车当时正浇水作业,M_10373,社会新闻,4月28日，侯平高速山西运城段一辆问界M7追尾养护车起火致3人死亡。运城高速公路管理有限公司工作人员称，事发时养护车正进行移动式浇水作业，养护车作业时车上设有警示装置。
为什么有人运动上脸,M_10374,运动健身,北京体育大学运动人体科学学院副教授苏浩表示，一般情况下，运动完脸变红是身体的正常反应，对身体无害，主要与以下几方面有关。
奶奶们围成人墙保护3岁走失娃,M_10377,社会新闻,近日，湖北谷城县，一名3岁女童与家人走散，趴在路边的石墩上呼呼大睡。几位路过的热心奶奶发现后，给女童披上外套，并在路边围成一堵“人墙”。
高速快车道一车辆撞上养护车致1死3伤,M_10379,社会新闻,正常行驶在高速公路超车道的车辆，进入弯道时，躲闪不及撞上正在作业的养护车辆，驾驶员当场死亡，车上三人受伤。死者好友：养护车辆仅在车后50米以内摆放了三个交通锥。
陈丽君上桌了,M_10380,综艺,《手艺人大会》陈丽君上桌了
卢昱晓束发古装,M_10382,剧集,卢昱晓新剧《榜上佳婿》开机，束发+蓝色发带
15元1个的菠萝蜜100元5个的榴莲,M_10388,美食,榴莲控和菠萝蜜控看过来！近日，广西街头，菠萝蜜15元一个、榴莲100元5个的地板价炸裂全网……
字节回应61人违法违纪被辞退,M_10389,互联网,此前，有市场消息称，字节跳动通报内部反腐，辞退61人，4人涉嫌刑事犯罪被立案。4月29日，记者向字节跳动方面求证获悉，消息属实。据了解，字节跳动企业纪律与职业道德委员会通报61起员工违法违纪案件，涉事员工全部被辞退。其中，有4人因涉嫌构成刑事犯罪被公安机关立案侦查。
上海公卫中心回应病毒学家实验室被强关,M_10386,社会新闻,近日有网友发帖称，病毒学家张永振在上海市公共卫生临床中心的实验室被该中心领导强行关闭。网友称张永振为此不得不在实验室门口睡觉过夜。上海市公共卫生临床中心4月29日就此事进行了通报。
突然发现自己好孤独,M_10391,情感,突然发现自己好孤独
张雨绮把自己的礼服剪了,M_10394,综艺,张雨绮把自己的礼服剪了，
字节跳动4人涉嫌刑事犯罪被立案,M_10387,互联网,4月28日，澎湃新闻从字节跳动内部人士处获悉，字节跳动企业纪律与职业道德委员会通报61起员工违法违纪案件，涉事员工全部被辞退。根据通报，有4人因涉嫌构成刑事犯罪被公安机关立案侦查。
付鹏全网账号注销,M_10399,网红,付鹏全网账号注销
王一博代言真维斯,M_10403,艺人,王一博代言真维斯！
被Pura70的颜值圈粉了,M_10411,数码,华为 Pura 70系列打破了惯例，采用独特的三角风向标设计，极具辨识度。很多网友都称“真的被Pura70的颜值圈粉了”。
张小斐晒照祝贾玲生日快乐,M_10413,艺人,张小斐晒照祝贾玲生日快乐
罗翔受聘为山东大学兼职教授,M_10414,互联网,中国政法大学刑法学研究所所长罗翔再添新职。
贺美琦曾是TFBOYS的MV女主,M_10415,音乐,贺美琦曾是TFBOYS的MV女主
王源2024巡演启动,M_10420,演出,4月29日，@王源RoyWang工作室 宣布2024王源@TFBOYS-王源 「客厅狂欢」巡回演唱会正式启动。
小米SU7第10000辆整车下线,M_10425,汽车,小米造车短短三年，实现从0到1的飞跃；上市一个月，再实现从1到10000的狂飙。预计，2024年交付目标为10万辆。这速度，简直让人瞠目结舌！
小鸟给自己盖的新家满是槐花香,M_10426,社会新闻,4月28日，山东寿光。一只鸟中建筑大师“中华攀雀”在槐树上的新家做着收尾工作……远远望去，好像一座花园洋房！
Jennie和ZICO手势舞,M_10424,音乐,Jennie和ZICO的手势舞，很快又能成为全网的流行趋势吧～
中国船舶拿下全球最大造船订单,M_10431,社会新闻,中国船舶集团与卡塔尔能源集团举行签约仪式，中国船舶拿下全球最大造船订单，将造18艘27.1万立方米超大型液化天然气（LNG）运输船。
明日方舟奈雪联动,M_10432,"游戏,美食",明日方舟奈雪联动今日上线！线下门店超火热，大家都去打卡了吗？
提出涨薪1000涨了500,M_10434,幽默,提出涨薪1000涨了500
相恋7年夫妻像热恋时一样恩爱,M_10436,社会新闻,浙江杭州，许女士和丈夫相恋七年，目前一起经营一家快餐店。每当店里不忙的时候，丈夫就会拉着她玩玩闹闹，平时互动也特别多。许女士说，过了这么多年还是像热恋期一样，两人也不会觉得尴尬或不好意思，能互相提供情绪价值。
肖战于米兰拍摄,M_10437,作品衍生,肖战于米兰拍摄！
马斯克自称是中国的粉丝,M_10439,汽车,4月28日下午，应中国贸促会邀请，美国特斯拉公司首席执行官埃隆·马斯克抵达北京。在回答中国日报记者彭译萱的提问时他表示，很高兴看到中国电动汽车行业飞速发展，他认为未来所有汽车都将是电动的。在与中国贸促会会长任鸿斌座谈时，马斯克表示：“我是中国的超级粉丝。”
宋雨琦被自己小卡价格吓到,M_10441,作品衍生,宋雨琦猜自己小卡价格，听到一万的时候，她的表情在演我……
不是你太敏感这就是性骚扰,M_10450,剧集,《微暗之火》中南雅秒识破江智“人情”包装下的性骚扰行为。
30岁你的存款达标了吗,M_10460,情感,30岁你的存款达标了吗
李现换发型了,M_10461,作品衍生,李现换发型了
赵丽颖围炉煮茶随拍,M_10466,艺人,赵丽颖围炉煮茶随拍有，是满分惬意的颖宝
黄轩被安保押着打卡天水麻辣烫,M_10467,艺人,4月28日，黄轩打卡天水麻辣烫被人群围堵，安保贴身护送 “突出重围”，轩哥无奈被“押送”。
教练Gemini回归,M_10468,电竞,Gemini参与梦之队教练选拔，期待教练Gemini回归！
肖战18秒换了6套造型,M_10470,作品衍生,肖战18秒换了6套造型。
将门毒后改名为将门独后,M_10474,剧集,《将门毒后》影视化改名为《将门独后》，改编自千山茶客小说《将门毒后》，36集。 ​
癌症可能是省出来的,M_10476,健康医疗,国家癌症中心前段时间发布的《2022年中国恶性肿瘤流行情况分析》显示，2022年我国癌症新发病例约为482.47万例。也就是说，平均每天会有1万多人次被诊断为新发癌症，平均每分钟确诊的就有9人次。
关晓彤想和张一山一起录节目,M_10482,综艺,关晓彤想和张一山一起录节目
虞书欣美式女高,M_10484,作品衍生,虞书欣美式女高造型，百变欣欣上线啦！
金靖曾被舒奕橙三次取关,M_10485,综艺,金靖男友为了保护她，也是做出来不少努力啊。
林更新边江玫瑰故事再合作,M_10486,剧集,4月29日，@林更新 晒出和边江的合影并配文：“边江老师是行云行止也是宇文玥的声音塑造者，感谢他成就了这些角色（就是不给我机会展现下我那充满魅力的台词功底）再次合作玫瑰故事，在边江老师指导下，大功告成。”
林允千金美甲,M_10487,"作品衍生,美妆",《手艺人大会》林允千金美甲好美啊
范丞丞超小声diss谢帝,M_10488,综艺,范丞丞在新说唱2024 明星制作人Cypher录制现场玩起“迪士尼”梗，超小声diss谢帝
鲁迅家属已向乐乐茶发律师函,M_10492,社会新闻,4月29日，针对#乐乐茶联名鲁迅引争议# ，鲁迅长孙、鲁迅文化基金会会长周令飞先生称，上海朱妙春律师事务所已向乐乐茶及江苏译林出版社有限公司（下称江苏译林）发出律师函。鲁迅家属及鲁迅文化基金之要求乐乐茶与江苏译林应在收到律师函后立刻停止侵害鲁迅肖像权的行为。
曹德旺红旗,M_10495,汽车,4月29日，中国“玻璃大王”、著名企业家曹德旺先生现身红旗交车仪式，新增红旗座驾。
领导重新定义二本,M_10498,教育,领导重新定义二本
黄景瑜谈王一博最A时刻,M_10499,电影,《维和防暴队》直播，黄景瑜谈王一博最A时刻。
赵又廷杀回综艺了,M_10506,综艺,赵又廷居然又回综艺了 真的让人期待值拉满 期待《盒子里的猫》
日元汇率一度跌破160日元兑1美元,M_10442,财经,今天（4月29日）的国际外汇市场上，日元对美元汇率快速下跌，一度跌破160日元兑1美元，为1990年来首次。
原来真的有人能记住你随口说的话,M_10510,电影,爱与不爱有多明显，从能不能记住你随口说的话就能看出。电影《错过你的那些年》为绝美爱情哭泣～
付鹏与李佳琦仍共同持股公司,M_10515,网红,天眼查App显示，付鹏名下关联企业共有8家，5家为存续状态。其中北京美奈咨询管理有限公司法定代表人为美腕创始人戚振波，该公司由戚振波、李佳琦、郑明、付鹏等共同持股。
歌手2024请揭榜,M_10518,综艺,《歌手2024》携手微博，开启独家报名通道，面向全球华人歌手发起邀约。即刻报名，揭榜挂帅！
003,M_10526,"军事,国内时政",6月17日上午，我国第三艘航空母舰下水命名仪式举行。
赵露思好红,M_10522,艺人,赵露思好红
王一博让主持人不要王吧一起说,M_10528,电影,王一博让主持人不要王吧一起说！
北大教授称年轻人不要老想着眼前,M_10502,社会新闻,在第六届政府与市场经济学国际研讨会上，北京大学光华管理学院教授周黎安指出年轻人最重要的还是要看到希望。
为什么头发梳久了梳子上会这样,M_10532,幽默,仿佛看到了我的梳子…
两岁男孩多次用枕巾捂妹妹脸,M_10535,社会新闻,4月27日，广东。一名两岁半的男孩竟多次使用枕巾盖住其年幼妹妹的脸部，甚至还用力按压。
人生哪次考试决定了你的命运,M_10537,教育,期末考、高考、职称考、飞行员考…人生哪次考试决定了你的命运？
广西通报一小学生坠楼身亡,M_10542,社会新闻,4月29日，记者从广西蒙山县教育局了解到，4月23日17时12分许，蒙山县陈塘中心小学一名学生坠楼死亡。
长沙南站就候车室漏雨致歉,M_10543,社会新闻,4月29日13时10分许，长沙地区突发强降雨，造成长沙南站候车室顶棚排水管道瞬间排水不及，雨水溢流至B区第10候车区域。车站立即组织专业技术人员紧急处理。13时40分，紧急处理完毕。给旅客带来候车不便，车站表示歉意。
赵露思饭撒,M_10546,艺人,赵露思饭撒
贾玲换新头像,M_10549,艺人,贾玲换新头像
刘亦菲有在认真养她的小猫咪,M_10550,艺人,刘亦菲有在认真养她的小猫咪
近5年中国国家元首首访欧洲,M_10577,国内时政,发言人林剑介绍，此次访问是近5年来中国国家元首首次访问欧洲，对推动中国同法国、塞尔维亚、匈牙利以及中欧关系整体发展具有重要意义，也将为世界和平发展注入新动能。
肖战在日落黄昏时,M_10579,艺人,好帅～[舔屏][舔屏][舔屏]
你的五一搭子是谁,M_10592,情感,这个五一，去感受一趟自由的风吧！这趟旅程，无论和谁，出发吧！仅有一次的人生，当然要过得奔放且热烈！
IVE空降,M_10594,艺人,IVE新歌《Kitsch》空降melon排名
终于喝上冰中式了,M_10595,美食,年轻人有属于自己的冰中式
病毒学家张永振和其学生仍围坐门口,M_10598,社会新闻,近日，病毒学家实验室被强行关闭在门口过夜一事引发争议。4月29日下午，记者来到上海市公共卫生临床中心的华东病原生物学研究所发现，张永振及其团队学生仍在门口围坐，现场有数名上海市公共卫生临床中心的保安在门口执勤，研究所大门紧闭。
高颜值出圈华为HR自曝离职,M_10600,数码,4月28日，曾因高颜值走红网络的华为HR，在社交平台晒出离职证明。根据动态显示，当晚他已开启直播，主页已上架橱窗功能。
Gucci把肖战写入简介,M_10601,"艺人,时尚",Gucci把肖战写入简介
郑恺苗苗又发糖了,M_10604,综艺,郑恺苗苗又发糖了！❤️信号发送中🫰🏻📶❤️信号接收中🫰🏻📶郑恺苗苗好甜啊，不愧是内娱模范夫妻！
乐乐茶致歉声明,M_10597,"社会新闻,美食",4月29日，乐乐茶就联名鲁迅事件发布致歉声明：
朱莉回应离婚,M_10608,网红,4月29日，@朱莉姐姐Julie 发视频谈结束自己和阿福的12年婚姻。朱莉表示：我觉得自己特别勇敢，我终于下定决心，离开在外人眼里觉得在稳定过日子的婚姻状态。
原北京站站长王丽娟被查,M_10609,社会新闻,原北京铁路局副局长兼北京站党委书记、站长王丽娟被查。
papi酱问郭采洁哪来这么多破烂儿,M_10613,艺人,papi酱问郭采洁哪来这么多破烂儿
女子直播时被失散32年的父亲认出,M_10622,社会新闻,李女士在一次直播中寻亲，幸运的是她的亲生父亲一眼就认出了她。
陈翔自荐报名歌手2024,M_10624,综艺,4月29日，《歌手2024》开启独家报名通道，随后，歌手陈翔发文称：只想好好的站在舞台上唱歌，也想好好的做个歌手，也想让更多的人听听我的真心话 。
邓科关注赵露思,M_10630,艺人,导演邓科微博关注赵露思
游客反映董宇辉博物院直播耽误参观行程,M_10633,互联网,4月28日，董宇辉“与辉同行”河南行直播参观河南博物院，有多位网友反映：因为该直播活动导致其正常预约无法进馆，排队50分钟耽误了参观行程。
原来是因为头发少所以油得快,M_10642,"科学科普,健康医疗",云南省第一人民医院皮肤科副主任医师高飞表示，每个人的头发和头油本来都是相匹配的。好比100份头油分泌出来，就是用于滋润100份头发，让头发显得油润光泽。当头发减少了，而头油仍然正常分泌，多余的头油没有去处，只能堆积在头皮上，所以头发少的人一般都会显得头油很多。
辛芷蕾工作室关闭后援会账号,M_10644,艺人,辛芷蕾工作室关闭后援会账号“经过慎重的考虑商议，后援会帐号将进行关闭处理”
林更新苗苗同框,M_10646,作品衍生,林更新苗苗活动同框
苗苗不愧是北舞严选,M_10647,综艺,苗苗不愧是北舞严选，你永远可以相信北舞的审美！
特斯拉FSD中国售价,M_10654,汽车,4月28日，特斯拉CEO马斯克来到中国，特斯拉官方微博先后两次发声，提到了加速自动驾驶技术落地，这引发了中国市场对特斯拉完全自动驾驶（Full-Self Driving，简称“FSD”）的关注。
五一公路出行将呈现五大特点,M_10658,社会新闻,29日，交通运输部举行4月份例行新闻发布会。今年“五一”假期公路网运行将有哪些特点？一起来看看吧。 ​​​
南京胖哥被初诊为PTSD,M_10659,社会新闻,4月29日，南京胖哥发布一条朋友圈：“抑郁不可怕，PTSD(创伤后应激障碍)才可怕”。
肖战晚宴穿搭,M_10663,"作品衍生,时尚",肖战晚宴穿搭。
长期久坐或致男性不育,M_10664,健康医疗,长期久坐人群是指那些需要经常坐着上班的一族，长时间面对电脑、长时间开车，他们所表现的特点是一周中至少坐5天，因此被称为久坐族
五一不回家也不旅游还能干什么,M_10666,情感,五一不回家也不旅游能干什么？
下月底中国与格鲁吉亚互免签证,M_10668,国内时政,中格互免持普通护照人员签证的协定将于5月28日正式生效。
存多少钱能用利息生活,M_10669,财经,随着年轻人攒钱观念的盛行，一批网友开始尝试“用利息生活”。来聊聊，你觉得存多少钱能用利息生活？
别让旗袍限制了我们的运动,M_10670,幽默,别让旗袍限制了我们的运动。
CCTV综艺放了赵丽颖簪花照,M_10672,综艺,CCTV综艺《开门大吉》放了赵丽颖簪花照，赵丽颖簪花大出圈
春色寄情人看脸红了,M_10675,剧集,受不了了，李现周雨彤你俩搞暧昧也太有一套了吧！给我看脸红了都～
为什么肥胖纹有红色和白色两种,M_10681,健康医疗,为什么别人的肥胖纹是红色我的是白色？
双子座潇洒背后的完美主义,M_10684,情感,表面潇洒的双子座其实是十分追求完美
杨幂制服卷发,M_10688,"作品衍生,艺人",杨幂制服卷发
田曦薇蓝色花钿,M_10689,作品衍生,田曦薇蓝色花钿
王一博让赵华为站C位,M_10690,电影,王一博让赵华为站C位
刘宇宁自曝录hi6受伤,M_10696,综艺,刘宇宁自曝录hi6受伤：”挺累也没少受伤，叫人一顿勾拳，hi6前天播的那期抢背后那个花，自己抢完之后直接跪在地上了，直接给自己膝盖蹭掉一层皮”
书卷一梦将官宣,M_10697,剧集,《书卷一梦》将官宣
厦门免费宿舍已有1千多人申请,M_10701,社会新闻,近日，福建厦门推出新政，到厦门求职、见习的符合条件的大学生，可享受累计最长12个月的免费住宿。
4名医护出差途中救下一命,M_10710,社会正能量,近日，广西富川4名医护人员乘车出差途中，偶遇一起交通事故。几人立即叫停出租车，下车施救。
尹锡悦与李在明会谈,M_10714,国外时政,韩媒：尹锡悦与李在明会谈，系尹锡悦2022年就任以来首次
电影维和防暴队北京首映礼,M_10718,电影,电影《维和防暴队》北京首映礼火热举办中，维和小队热血集结，炮火逆行，为和平而来，5月1日，大银幕见！
蓝莓会是下一个超级水果吗,M_10721,美食,继车厘子、榴莲之后，宁波吃货们的“蓝莓自由”也有望实现。正值国产蓝莓上市季，今年，宁波蓝莓降价不少，销量大增。本土化狂飙之下，蓝莓会是下一个“超级水果”吗？
张雨绮全绿开衩裙,M_10722,"作品衍生,时尚",张雨绮全绿开衩裙
妻子提前下班回家丈夫飞奔抱起,M_10727,社会新闻,4月25日，安徽合肥，丈夫休假特意坐最早班飞机赶回家，看到提前下班的妻子，高兴得冲上前抱起妻子。
特斯拉市值一夜涨近6000亿,M_10728,"财经,汽车",美东时间4月29日，美股三大指数均小幅收涨。大型科技股涨跌不一，特斯拉涨15.39%，报194.2美元/股，创3月4日以来盘中新高，也是2020年3月份以来最大单日涨幅，市值增加826亿美元(约合5974亿人民币)。
国际不打小孩日,M_10730,社会新闻,4月30日，国际不打小孩日。对待孩子，请多些引导与尊重，多点耐心与宽容！
高颜值出圈华为前HR否认是下一个孟羽童,M_10731,社会新闻,4月28日，曾因高颜值走红网络的华为HR，在社交平台晒出离职证明。在直播中被说是下一个孟羽童，他表示：“那不是，我达不到孟羽童的高度。我觉得孟羽童自己也很优秀。人家毕竟是浙大毕业，就算不去直播带货，也会可以有很好的工作，这没有什么好评判的。人家都这么优秀了，挣点钱不是应该的吗。”
再坚持一天就要放假了,M_10733,情感,再坚持最后一天就要放假啦！五一大家都有出行计划吗？
歌手,M_4903,综艺,因乐相逢，拥抱世界。5月10日起每周五20:00，锁定湖南卫视、芒果TV ，邀您一同踏上精彩绝伦的音乐之旅～
放射科未给受检者穿防护服医疗机构被罚,M_10735,社会新闻,岱山卫生健康局执法人员在检查时发现，舟山某医疗机构放射科，有2名受检者在进行x射线影像检查时，均未佩戴使用个人防护用品。该机构放射诊疗人员表示，为图操作方便，未提醒受检者穿戴防护服。最终，岱山县卫生健康局对该医疗机构进行了立案处理，并作出了相应的行政处罚。
小时候被爸妈打的难忘原因,M_10736,情感,希望父母对待孩子时，多些耐心与引导。小孩儿们一起转发！ ​
内塔尼亚胡不停给拜登打电话,M_10737,国外时政,据外媒4月28日报道，国际刑事法院最近几天可能会对以色列总理内塔尼亚胡发出逮捕令。一名记者称，目前，内塔尼亚胡“正不断打电话”给美国总统拜登，希望拜登出面予以阻止。
洗脸不知这3个误区越洗皮肤越差,M_10739,美妆,洁面几乎是每个人每天都在做的事，但其实并非每个人都在正确地洁面，不少方式可能会持续损害皮肤健康！
广东或再现龙卷风,M_10741,社会新闻,出行注意安全！
Hybe或将撤换闵熙珍,M_10742,艺人,韩媒：已无和解可能 Hybe或将在1-2月内撤换闵熙珍
神十七乘组要回地球过五一了,M_10744,社会新闻,祝福神十七乘组一路平安，欢迎回家！
问界M7事故家属发声,M_10746,社会新闻,备受关注的问界M7事故家属@三个沐沐发布微博感谢网友支持并还原事件真相：好心人第一时间开门救人，家人因车辆碰撞失去生命，并非此前网传因车辆无法开门起火导致的伤亡。家属同时表示感谢相关部门提供的调查材料并希望大家忽视或删除不实内容。
金秀贤金智媛一起切蛋糕,M_10747,剧集,贤佑海仁一起切蛋糕
怀孕以后为什么觉得老公巨臭无比,M_10756,情感,有位孕妈在分享怀孕以后嗅觉改变的时候说到：“怀孕以后我老公变得超臭，巨臭无比，感觉鼻子嘴巴呼出来的气都是臭的，用了香水沐浴露还是臭的，被我赶到沙发上去睡了。”
张婧仪浴水照,M_10758,剧集,#张婧仪浴水照#
百元实现榴莲自由的店给你们找到了,M_10760,美食,潍坊小伙魏亮创业3次成功3次，成“餐饮界爽文男主”。因顾客一句话，他推出两百元价位的榴莲+和牛自助，吸引外省顾客跑1400里打卡……
神十七顺利撤离空间站,M_10763,社会新闻,据中国载人航天工程办公室消息，神舟十七号载人飞船与空间站组合体已成功分离。
侯雯元首次在节目里提钟楚曦,M_10761,综艺,《这是我的岛》@演员侯雯元 专门感谢@钟楚曦 送给自己枕头，还说如果要带人上岛不会带她，因为岛上的生活太苦了！
肖战晚宴的衣服穿到了机场,M_10767,艺人,肖战晚宴的衣服穿到了机场
